#--------------------------------------------------                                                                                                                            
#   Aglomerado Aberto da Galáxia NGC188
#
#  J    (J-H) Memb(%)
#--------------------------------------------------
10.765  0.209   0.0
15.579  0.524  96.0
16.873  1.005  49.0
15.680  0.492  96.0
16.198  0.528   0.0
15.409  0.379  97.0
15.075  0.375  98.0
15.931  0.322   0.0
14.865  0.425  98.0
12.283  0.497  97.0
15.877  0.562   0.0
16.124  0.620   0.0
14.748  0.381  97.0
15.897  0.644  90.0
16.630  0.856  26.0
13.280  0.689   0.0
11.709  0.560  54.0
14.579  0.310  97.0
13.757  0.198  77.0
16.561  0.945   0.0
11.149  0.328   0.0
16.661  1.019  64.0
15.256  0.216  95.0
15.180  0.550  93.0
15.399  0.382   0.0
13.195  0.296  48.0
16.063  0.758  98.0
14.032  0.299  45.0
13.266  0.355  94.0
15.499  0.469  95.0
15.223  0.207  96.0
14.909  0.474  99.0
15.499  0.371  98.0
14.403  0.294  84.0
15.451  0.521   0.0
14.627  0.300  84.0
13.542  0.386  88.0
14.826  0.682   0.0
15.247  0.266  98.0
15.205  0.380   0.0
16.740  0.755  84.0
10.271  0.491   0.0
14.661  0.237  80.0
15.289  0.316  97.0
14.879  0.402  60.0
13.164  0.243  86.0
13.897  0.402   0.0
16.399  0.741  92.0
16.325  0.666  74.0
 9.891  0.688  49.0
15.673  0.487  97.0
15.830  0.319  96.0
13.094  0.529   0.0
14.458  0.405  98.0
12.124  0.247   0.0
12.909  0.224  80.0
15.313  0.294  14.0
15.254  0.717   0.0
14.839  0.438  98.0
15.079  0.253  98.0
14.788  0.276  98.0
16.428  0.344  87.0
16.567  0.767   0.0
15.915  0.438   0.0
16.363  0.575  92.0
14.467  0.359  98.0
16.404  0.503  94.0
16.549  0.309  73.0
14.800  0.438  98.0
13.732  0.375  86.0
15.706  0.421  97.0
15.393  0.807  40.0
14.910 -0.221   0.0
15.346  0.511   0.0
14.847  0.270  98.0
14.798  0.519   0.0
15.208  0.165  98.0
13.668  0.303  87.0
16.049  0.859   0.0
15.733  0.573  90.0
15.378  0.234   0.0
15.726  0.571  95.0
13.747  0.294  97.0
16.193  0.532  48.0
15.645  0.539  97.0
14.015  0.297  88.0
16.640  0.703  80.0
16.688  0.239   0.0
15.147  0.389  98.0
14.224  0.344  91.0
16.796  0.915   0.0
13.590  0.350   0.0
15.946  0.418  95.0
13.796  0.297  72.0
16.079  0.426  95.0
15.341  0.449   0.0
16.614  0.916   0.0
13.570  0.278  91.0
16.042  0.704  87.0
13.907  0.324  88.0
12.708  0.475  96.0
15.360  0.318  93.0
16.272  0.361   0.0
14.927  0.394  97.0
10.208  0.659  85.0
13.660  0.343  94.0
13.744  0.245  69.0
13.675  0.341  96.0
13.486  0.318  86.0
14.465  0.331  70.0
12.041  0.252   4.0
13.428  0.388   0.0
16.333  1.042  79.0
14.965  0.432  98.0
15.949  0.553  90.0
15.333  0.520   0.0
16.181  0.254  98.0
16.061  0.545  98.0
14.742  0.300   0.0
15.839  0.674   1.0
16.338  0.788   0.0
14.678  0.262  85.0
15.147  0.388  84.0
15.994  0.623  84.0
12.234  0.534  97.0
13.541  0.327  91.0
16.202  0.542  93.0
14.707  0.251   0.0
15.740  0.418   0.0
15.313  0.346  97.0
10.920  0.468   0.0
13.977  0.296  94.0
15.990  0.163   0.0
16.038  0.610  90.0
16.712  0.829   0.0
14.384  0.291  98.0
13.570  0.344   1.0
15.339  0.467  98.0
14.860  0.381  98.0
15.531  0.615  96.0
14.146  0.305  85.0
16.054  0.605   0.0
14.368  0.328   0.0
11.370  0.554  84.0
14.360  0.395  83.0
16.220  0.663  88.0
13.813  0.271  96.0
12.746  0.381  48.0
14.648  0.320  98.0
16.724  1.006  28.0
16.382  0.358   0.0
10.098  0.637  86.0
11.439  0.538  22.0
16.047  0.405  96.0
16.254  0.900  92.0
14.509  0.313  82.0
14.180  0.408  87.0
12.167  0.491  85.0
15.381  0.177  94.0
13.545  0.373  88.0
10.908  0.619  80.0
15.141  0.395  94.0
15.129  0.350  98.0
15.775  0.205   0.0
15.089  0.382   0.0
15.808  0.569  97.0
13.526  0.364  90.0
13.737  0.270  94.0
14.970  0.272  98.0
13.991  0.110   0.0
13.016  0.422  91.0
16.341  0.773  97.0
13.866  0.376   0.0
15.232  0.517  96.0
15.718  0.405   0.0
14.635  0.364  98.0
14.957  0.524   0.0
13.890  0.345  45.0
13.691  0.312   0.0
15.170  0.299  97.0
14.331 -0.473   0.0
15.977  0.649  96.0
15.954  0.626  79.0
15.385  0.407  98.0
14.382  0.275  89.0
15.678  0.590  93.0
16.525  0.464   0.0
14.832  0.262   0.0
13.548  0.314  94.0
15.428  0.526  98.0
14.961  0.280  76.0
14.431  0.318   0.0
16.182 -0.669  21.0
15.454 -0.324   8.0
14.936  0.263  98.0
12.202  0.549   0.0
14.096  0.339  90.0
15.212  0.631   0.0
13.821  0.308  95.0
14.596  0.255  89.0
14.855  0.622   0.0
12.410  0.194  83.0
16.091  0.574   0.0
14.406  0.268  89.0
15.586  0.679   0.0
16.568  1.225   0.0
14.741  0.241  98.0
12.408  0.651   0.0
16.294  0.811   0.0
13.722  0.293  94.0
14.698  0.329  90.0
12.881  0.471  36.0
14.435  0.417  87.0
13.783  0.312  91.0
15.305  0.785   0.0
16.515  0.304  93.0
11.347  0.503   0.0
14.137  0.467   0.0
15.049  0.521  97.0
14.520  0.382  83.0
15.173  0.380  96.0
15.178  0.295  98.0
15.680  0.463  96.0
14.510  0.275  84.0
16.263  0.531   0.0
15.390  0.472   0.0
16.396  0.394  42.0
15.805  0.338  98.0
14.070  0.266  88.0
12.180  0.351   0.0
16.595  0.457   0.0
15.488  0.647  97.0
15.458  0.281  83.0
16.874  1.162  81.0
14.834  0.421   0.0
14.570  0.345  80.0
16.134  0.643   0.0
12.085  0.265   0.0
16.501  0.446   0.0
15.394  0.617   0.0
15.829  0.419  88.0
16.901  0.642  21.0
14.275  0.334  85.0
14.042  0.317  98.0
16.008  0.560  98.0
15.493  0.323  94.0
14.309  0.322  91.0
15.050  0.368  97.0
15.827  0.153   0.0
14.784  0.446   0.0
15.390  0.257   0.0
14.833  0.179  87.0
14.872  0.326  97.0
13.356  0.409  66.0
15.918  0.566   0.0
15.579  0.632  91.0
14.550  0.323  86.0
13.109  0.481  85.0
16.243  0.604   0.0
16.712  1.269  92.0
14.067  0.357  91.0
16.320  0.754  89.0
16.791  1.031  84.0
14.140  0.330  97.0
14.043  0.364  98.0
16.345 -0.066  75.0
13.532  0.325  10.0
14.178  0.321  86.0
15.856  0.391  95.0
16.074  0.566  78.0
15.579  0.574  98.0
12.021  0.311  45.0
16.532  0.484  49.0
13.605  0.353  93.0
10.385  0.569  84.0
14.730  0.346  98.0
13.836  0.267  89.0
14.529  0.228  85.0
15.190  0.268  91.0
16.665  0.739  94.0
16.676  0.587   0.0
14.447  0.224  84.0
15.593  0.567  96.0
14.516  0.251  79.0
17.325  1.203  23.0
15.567  0.211   0.0
15.959  0.788  70.0
12.863  0.198  84.0
 8.489  0.642   0.0
13.961  0.334   2.0
16.513  1.777  93.0
15.192  0.600   0.0
14.355  0.414   0.0
13.287  0.225   0.0
16.344  0.586   9.0
15.632  0.148   0.0
14.523  0.331  81.0
16.458  0.576   0.0
16.526  0.580  36.0
16.572  0.938   0.0
14.300  0.323  83.0
15.080  0.416  93.0
15.056  0.306  97.0
14.097  0.267  89.0
16.156  0.067  95.0
16.067  0.616  88.0
13.356  0.530   0.0
14.463  0.348  85.0
13.719  0.428   0.0
15.558  0.467  97.0
14.464  0.278  92.0
14.708  0.269  95.0
15.107  0.460  96.0
14.295  0.371  91.0
14.617  0.327  95.0
13.496  0.291  85.0
16.170  0.932  92.0
15.510  0.345  96.0
11.139  0.257   0.0
13.966  0.353  95.0
11.106  0.342   0.0
15.566  0.471   0.0
16.541  0.551  80.0
15.615  0.132   0.0
15.801  0.657   0.0
16.272  0.776  92.0
14.419  0.350  71.0
15.464  0.788   0.0
16.556  0.653  88.0
12.698  0.519  95.0
13.792  0.315  95.0
15.008  0.383  96.0
16.028  0.367   0.0
16.239  0.304   0.0
12.964  0.551   0.0
15.387  0.265  99.0
15.184  0.340   0.0
14.016  0.240  92.0
14.453  0.265  98.0
16.173  0.724   0.0
16.272  0.377  41.0
16.603  0.648  93.0
15.811  0.529  59.0
16.540  0.714  82.0
16.008  0.773   0.0
14.154  0.365   0.0
16.698 -0.182   3.0
13.136  0.496  96.0
13.960  0.274  89.0
15.164  0.821   0.0
15.896  0.447   0.0
14.915  0.280  97.0
15.177  0.370   0.0
15.727  0.476  91.0
15.472  0.458   0.0
15.156  0.272  98.0
16.757  1.086  34.0
12.455  0.613  30.0
13.769  0.301  96.0
14.363  0.191   0.0
14.850  0.337  98.0
14.875  0.259  98.0
13.898  0.609   0.0
14.276  0.243   0.0
14.043  0.313   0.0
16.133  0.804  93.0
16.680  0.901  86.0
16.347  0.802  92.0
16.057  0.330  94.0
15.527  0.214  62.0
16.113  0.568  91.0
15.735  0.388   0.0
13.533  0.379  97.0
16.405  0.443   0.0
14.635  0.406  81.0
16.294  0.087   0.0
16.541  0.483   0.0
14.687  0.247  90.0
14.128  0.356  85.0
16.123  0.286   0.0
13.730  0.154  84.0
16.214  0.436  87.0
13.405  0.400   0.0
16.532  0.858   0.0
16.290  0.904  96.0
16.639  0.670  76.0
16.351  0.804  78.0
14.001  0.299  93.0
16.328  0.258   0.0
14.928  0.304  98.0
13.285  0.598   0.0
15.805  0.566   1.0
15.088  0.345   0.0
15.175  0.285  98.0
15.053  0.553  95.0
14.165  0.401  88.0
16.484  0.826  75.0
14.153  0.006   0.0
14.482  0.632   0.0
13.714  0.327   0.0
13.583  0.263  93.0
16.593  0.460   0.0
16.372  0.293   0.0
16.486  1.104  91.0
16.328  0.443  91.0
12.262  0.359  32.0
16.439  0.702  63.0
15.699  0.324  97.0
14.612  0.332  98.0
16.165  0.950  84.0
13.628  0.372  92.0
16.017  0.617  85.0
15.480  0.535  93.0
16.836  0.460  87.0
10.872  0.709  45.0
14.669  0.355  97.0
13.588  0.465   0.0
13.376  0.495  88.0
15.877  0.445  88.0
16.199  0.589  94.0
16.498  0.813  85.0
16.404  0.472  46.0
15.702  0.515   0.0
15.274  0.251   0.0
13.521  0.374  79.0
