#---------  Match entre o arquivo onde esta contido os dados de StetsonS   -------       1624 estrelas do        ---------
#---------         e o arquivo onde esta contido os dados do 2MASS         -------    Aglomerado aberto NGC188   ---------
#  r(arcmin)  RAJ2000_2m  DEJ2000_2m  RAJ2000_ste  DEJ2000_ste  AJ2000_2m   DEJ2000_2m  AJ2000_ste  DEJ2000_ste  Bmag  e_B  Vmag  e_V
#  Imag  e_I  Jmag   e_J   Hmag   e_H  Kmag  e_K   Memb(%)
 0.9420  0 49 11.266  85 15 11.870  0 49 11.350  85 15 12.000  12.296940  85.253296  12.297292  85.253334 17.336  0.004  16.579  0.003  15.703  0.003  15.230  0.083  14.994  0.088  14.771  0.096  93.
 0.9616  0 48 58.614  85 15 59.160  0 48 58.710  85 15 59.200  12.244226  85.266434  12.244625  85.266441 17.091  0.004  16.347  0.003  15.495  0.003  14.974  0.039  14.602  0.066  14.485  0.069  97.
 0.9731  0 49 10.159  85 15 38.230  0 49 10.180  85 15 38.700  12.292328  85.260620  12.292417  85.260750 18.932  0.008  17.926  0.003  16.772  0.005  16.031  0.093  15.420  0.128  15.383  0.176  89.
 0.9742  0 48 45.600  85 16 11.160  0 48 45.710  85 16 11.400  12.190001  85.269768  12.190458  85.269836 16.788  0.003  16.086  0.002  15.268  0.005  14.812  0.033  14.376  0.057  14.441  0.075  98.
 0.9911  0 48 58.328  85 14 34.160  0 48 58.480  85 14 34.300  12.243032  85.242821  12.243667  85.242859 18.652  0.007  17.667  0.002  16.554  0.005  15.894  0.081  15.413  0.126  15.156  0.135  97.
 0.9972  0 47 37.902  85 15 13.730  0 47 38.050  85 15 13.900  11.907925  85.253815  11.908542  85.253860 15.689  0.003  14.915  0.003  14.049  0.003  13.495  0.025  13.161  0.031  13.111  0.033  96.
 1.0069  0 49 14.584  85 15 14.260  0 49 14.790  85 15 14.400  12.310765  85.253960  12.311625  85.253998 18.894  0.008  17.752  0.003  16.422  0.004  15.602  0.064  14.998  0.107  14.647  0.107  96.
 1.0520  0 47 46.378  85 14 38.470  0 47 46.420  85 14 38.700  11.943240  85.244019  11.943417  85.244080 16.958  0.002  16.184  0.002  15.303  0.004  14.845  0.035  14.418  0.056  14.386  0.070   0.
 1.1327  0 47 34.119  85 15 39.930  0 47 34.320  85 15 40.100  11.892162  85.261093  11.893000  85.261139 18.203  0.007  17.326  0.003  16.335  0.006  15.652  0.060  15.188  0.093  15.235  0.167  93.
 1.1487  0 47 30.504  85 15 15.000  0 47 30.600  85 15 15.200  11.877102  85.254166  11.877500  85.254219 16.845  0.003  16.041  0.002  15.094  0.003  14.453  0.035  14.117  0.047  14.025  0.053  90.
 1.1798  0 48 45.196  85 14 11.360  0 48 45.350  85 14 11.400  12.188315  85.236488  12.188958  85.236496 18.000  0.007  17.029  0.002  15.920  0.005  15.214  0.062  14.903  0.073  14.649  0.091  93.
 1.1944  0 47 34.469  85 15 50.510  0 47 34.680  85 15 50.600  11.893621  85.264030  11.894500  85.264053 16.020  0.003  15.374  0.002  14.616  0.004  14.260  0.033  13.960  0.044  13.843  0.053  98.
 1.2416  0 49  5.553  85 16 14.100  0 49  5.670  85 16 14.300  12.273139  85.270584  12.273625  85.270645 15.802  0.004  15.148  0.004  14.375  0.005  13.927  0.032  13.604  0.041  13.539  0.039  93.
 1.2479  0 49 22.176  85 14 50.830  0 49 22.370  85 14 50.800  12.342402  85.247452  12.343208  85.247444 20.313  0.012  19.064  0.008  17.546  0.007  16.678  0.164  15.283  99.99  15.412  0.191  62.
